byzantine_ratio,test_loss_mse
0.0,0.015493419343127639
0.02368421052631579,0.014027798807788604
0.04736842105263158,0.014630223940382653
0.07105263157894737,0.015886347095293785
0.09473684210526316,0.016258925723173914
0.11842105263157895,0.016203692179085134
0.14210526315789473,0.013914052980255278
0.16578947368421054,0.01803330387859907
0.18947368421052632,0.018844160895311116
0.2131578947368421,0.018899264984557303
0.2368421052631579,0.01831631679501487
0.2605263157894737,0.021022589677547082
0.28421052631578947,0.023352892537034698
0.3078947368421053,0.023892621765988466
0.3315789473684211,0.02671123359186044
0.35526315789473684,0.029442925298150898
0.37894736842105264,0.032535783849612324
0.40263157894736845,0.03843476594589452
0.4263157894736842,0.04134858814385801
0.45,0.04280136374305726
