num_operators,avg_round_time_s
5,2.1912033914404923
10,4.607775693624845
20,6.985578073929796
50,18.505638057508826
55,20.16873866615891
100,36.051106841884135
105,37.03684895603784
155,54.932983032806554
200,70.1171649855457
205,72.76342659482245
255,89.07002550159999
305,107.04462724524309
355,125.05069810065368
405,142.7679894074382
455,159.8665170962177
500,176.08344191205927
505,177.1874747456394
555,194.93069047247516
605,211.91067279115157
655,228.65918270988234
705,247.54327338357467
755,263.8763854760967
805,281.98268154980553
855,299.4702029125303
905,316.9837271156845
955,334.29712953809627
1000,350.1113397741925
